S.No,Stock_tick,Average log returns,Standard deviation of log returns,Security,GICS.Sector,GICS.Sub.Industry,Headquarters.Location,Date.first.added,CIK,Founded
194,FTV,-0.000643871,0.044368716,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,1659166,2016
139,DOW,-0.000650005,0.058955619,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,1751788,2019
250,IT,-0.000665664,0.044630843,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,749251,
208,GS,-0.000670201,0.050275021,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,886982,
167,EW,-0.000681861,0.038475774,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1099800,
84,CDW,-0.000685759,0.046588422,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1402057,1984
59,BAX,-0.000689384,0.03356242,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931
110,CPB,-0.000718457,0.026738912,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
341,NSC,-0.000765676,0.046129326,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
363,PEP,-0.000776089,0.035964761,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
54,AWK,-0.000776724,0.041141884,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886
300,MCK,-0.000819195,0.039111526,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833
120,CVS,-0.000822299,0.032621041,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996
115,CTAS,-0.000841433,0.050697265,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,1929
410,SJM,-0.000841745,0.028831414,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,91419,
471,VZ,-0.000841835,0.021933073,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/1983,732712,
97,CMCSA,-0.000849131,0.034326256,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,1166691,
431,TEL,-0.000885211,0.046338877,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,1385157,
316,MRK,-0.000898852,0.028692633,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",,310158,1891
342,NTAP,-0.000903039,0.045590566,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",6/25/1999,1002047,
405,SBUX,-0.000909814,0.043308852,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
211,HAS,-0.000943076,0.050525794,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,
364,PFE,-0.00094433,0.029778584,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
234,ICE,-0.000944608,0.035366841,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,1571949,2000
420,STT,-0.000972156,0.055054913,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
23,AJG,-0.000975836,0.039768891,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,
64,BK,-0.000984176,0.043476523,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1390777,1784
419,STE,-0.000995645,0.036060965,STERIS plc,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/2019,1757898,1985
490,XEL,-0.001013574,0.037362426,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
181,FIS,-0.001019053,0.041913779,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1136893,
368,PH,-0.001021679,0.057610602,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/1985,76334,
496,YUM,-0.001024738,0.041732901,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997,1041061,
340,NRG,-0.001041634,0.044864266,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/2010,1013871,
273,KSU,-0.001047202,0.047020483,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/2013,54480,
421,STX,-0.001047559,0.037760036,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,1137789,
279,LH,-0.001048834,0.050862709,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,920148,
53,AVY,-0.001051383,0.044435606,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,
228,HSIC,-0.001062254,0.037961624,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1000228,
384,PWR,-0.001066563,0.044707624,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",7/1/2009,1050915,
68,BLL,-0.001070059,0.035574559,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,
324,MU,-0.001079372,0.051880943,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125,
473,WAT,-0.001090324,0.035056528,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
47,APTV,-0.001106478,0.074425765,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994
406,SCHW,-0.001115685,0.047268038,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,316709,
135,DISH,-0.00112778,0.059358522,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,
435,TIF,-0.001154011,0.023795504,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/2000,98246,
344,NUE,-0.001161086,0.045218875,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",4/30/1985,73309,
247,IR,-0.001162655,0.048778585,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/2020,1699150,1859
462,VAR,-0.001165706,0.041679415,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2/12/2007,203527,
157,EMR,-0.001175142,0.051814402,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1890
362,PEG,-0.001186154,0.03731108,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
426,SYK,-0.001219574,0.046445724,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,
76,CAH,-0.001231305,0.03796105,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,
143,DTE,-0.001252336,0.046460869,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
343,NTRS,-0.001254579,0.04795561,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
298,MCD,-0.001272423,0.039791996,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,63908,1940
330,NEE,-0.001278006,0.03893286,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976,753308,
118,CTVA,-0.001311443,0.046169063,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,1755672,2019
71,BSX,-0.001334961,0.04037859,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,885725,
13,ADP,-0.001346568,0.042022966,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/1981,8670,
117,CTSH,-0.001361543,0.045754816,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,
164,ETN,-0.001415285,0.048979319,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
358,PAYX,-0.001416562,0.048103511,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
25,ALB,-0.001444811,0.05163443,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994
313,MO,-0.001444835,0.03252177,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
243,IP,-0.001517402,0.047120903,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898
303,MDT,-0.00155649,0.037901712,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,1613103,1949
472,WAB,-0.001574139,0.050260775,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2/27/2019,943452,1999 (1869)
413,SNA,-0.001576281,0.045800742,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/1982,91440,1920
302,MDLZ,-0.001592367,0.030953106,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/2012,1103982,
62,BEN,-0.001596698,0.046979617,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
365,PFG,-0.001618966,0.061314149,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/2002,1126328,
487,WU,-0.001619747,0.037442865,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",,1365135,1851
233,IBM,-0.001638266,0.037001327,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,1911
49,ATO,-0.001639703,0.038910883,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906
101,CMS,-0.001644705,0.036579414,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,811156,
171,EXR,-0.001646626,0.037550157,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1289490,
138,DOV,-0.001655795,0.045288238,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,1955
493,XRAY,-0.001673202,0.040500768,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,818479,
465,VMC,-0.00168283,0.049965759,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/1999,1396009,
381,PSA,-0.001682892,0.0324158,Public Storage,Real Estate,Specialized REITs,"Glendale, California",8/19/2005,1393311,
41,ANTM,-0.001698359,0.046926512,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1940s)
42,AON,-0.00170498,0.037401742,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,315293,1982 (1919)
106,COO,-0.001719189,0.037684505,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,711404,
282,LKQ,-0.001722367,0.063707569,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,1065696,
85,CE,-0.001727958,0.051792885,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,1918
161,ES,-0.001742683,0.043306197,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966
255,JCI,-0.001774838,0.039171463,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",8/27/2010,833444,
497,ZBH,-0.001815816,0.045683531,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001,1136869,
66,BKR,-0.001833662,0.064677591,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017
221,HOG,-0.001843031,0.071792148,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,1903
284,LMT,-0.001848651,0.038997111,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468,
481,WM,-0.0018631,0.032294437,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
182,FISV,-0.001866248,0.043600229,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,798354,
213,HBI,-0.001874539,0.054597809,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,1359841,2000
292,LYB,-0.00187982,0.066893419,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393,
205,GPN,-0.001914015,0.052392045,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,1123360,
121,CVX,-0.001927211,0.058265292,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879
63,BIIB,-0.001928157,0.035694683,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,
16,AEE,-0.001948522,0.042139384,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902
476,WEC,-0.001965254,0.042278903,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008,783325,
277,LEG,-0.002007499,0.065892233,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883
441,TRV,-0.002018912,0.047131002,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",8/21/2002,86312,
286,LNT,-0.002033407,0.035979913,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917
166,EVRG,-0.00206251,0.046940471,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1711269,1909
92,CI,-0.00209009,0.045730547,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,701221,
337,NOC,-0.002097477,0.036225842,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/1985,1133421,
223,HON,-0.002106007,0.042129286,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,773840,1906
179,FE,-0.002106096,0.042380541,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
170,EXPE,-0.002114027,0.063851509,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/2007,1324424,
123,D,-0.002118135,0.043882789,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
172,F,-0.002120089,0.051355727,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903
402,RSG,-0.002122317,0.033189689,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/2008,1060391,
195,GD,-0.00214436,0.037021118,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899
206,GPS,-0.002167732,0.086135232,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,
395,RJF,-0.002221791,0.053537967,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/2017,720005,
17,AEP,-0.002270044,0.035918992,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
78,CB,-0.002307306,0.045434864,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,
309,MLM,-0.002319732,0.051897422,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,
29,ALLE,-0.002376351,0.041500259,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908
304,MET,-0.002404901,0.057287149,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219,1868
346,NVR,-0.002421201,0.058475114,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA",9/26/2019,906163,1980
336,NLSN,-0.002422113,0.051892329,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/2013,1492633,
152,ED,-0.002427778,0.038288633,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
217,HFC,-0.002437381,0.065152898,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,48039,
436,TJX,-0.00246432,0.047002859,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198,
188,FOX,-0.00247383,0.042401853,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,1308161,
216,HES,-0.002538214,0.074610549,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,
248,IRM,-0.002558761,0.042426916,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1020569,
474,WBA,-0.002564055,0.041615644,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,1618921,2014
382,PSX,-0.002566025,0.059897666,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,1534701,
58,BAC,-0.00257577,0.054843871,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,
488,WY,-0.002585937,0.069647594,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,1900
484,WRB,-0.00258969,0.0458051,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,11544,1967
189,FOXA,-0.002602047,0.042883671,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,1308161,
499,ZION,-0.002614994,0.046386454,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/2001,109380,
443,TSN,-0.002624252,0.045785596,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935
492,XOM,-0.002640803,0.045291463,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
373,PM,-0.002647842,0.03695316,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/2008,1413329,
103,CNP,-0.002650196,0.058472362,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,
463,VFC,-0.002666068,0.052679357,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,103379,
230,HSY,-0.002667095,0.035791126,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894
464,VLO,-0.002677206,0.067449979,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
418,SRE,-0.002703364,0.04654934,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
144,DUK,-0.002711753,0.039025371,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,
253,J,-0.002725495,0.0389899,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007,52988,
485,WRK,-0.002756482,0.059864251,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,1636023,2015
18,AES,-0.002768323,0.056704998,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981
168,EXC,-0.002776722,0.047175273,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000
495,XYL,-0.002780747,0.041892354,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/2011,1524472,2011
55,AXP,-0.002791486,0.058145813,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850
107,COP,-0.002813231,0.066861438,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
290,LVS,-0.002832335,0.052611922,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1300514,1988
401,ROST,-0.002874976,0.052508855,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/2009,745732,
428,T,-0.002882877,0.03356426,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
210,HAL,-0.00290818,0.093293026,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919
22,AIZ,-0.002912553,0.04620821,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,
295,MAA,-0.002934487,0.045374815,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,
444,TT,-0.00293646,0.040470708,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland",11/17/2010,1466258,
415,SO,-0.002953959,0.044757218,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,1945
